id,nama,latitude,longitude,htm_weekday,htm_weekend,deskripsi,image,image2,image3,url_maps,alamat,operating_hours,rating,kategori,url_tiket,akesibilitas,fasilitas,type,akses,dataran,weather,jeniswisata,jumlahrating,anak,lansia,descitinerary,isnight
45,Embung Nglanggeran,-7.8471399,110.5468589,10000,10000,"Embung Nglanggeran merupakan waduk kecil tempat menampung air yang memiliki luas sekitar 0,34 hektar. Air embung ini digunakan untuk sarana pengairan di area perkebunan sekitar. Selain untuk pengairan, telaga ini juga dimanfaatkan sebagai obyek wisata. Itu karena keindahan panorama yang dapat disaksikan dari embung berketinggian sekitar 495 meter di atas permukaan laut ini. Selain embung (telaga tampungan air), pemandangan gunung api purba menjadi pesona yang ditawarkan oleh objek wisata tersebut.",https://lh5.googleusercontent.com/p/AF1QipMoUha38UKE2fc3ECyAgVlWASeB8lx4VNw8YAuL=w408-h306-k-no,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/13/d3/b0/embung-dgn-view-yg-menawan.jpg?w=1200&h=-1&s=1,https://kabarhandayani.com/wp-content/uploads/2016/05/embung-nglanggeran-morning-624x351.jpg,https://goo.gl/maps/CUE1p3wk6DrED6886,"Nglanggeran Wetan, Nglanggeran, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862",Senin-Minggu 06.00-18.00,4.5,Wisata Buatan,,ramah anak-anak,,outdoor,mudah,tinggi,{current_weather},sungai rekreasi,4366,no,no,Menikmati alam Jogja di Embung Nglanggeran,no
46,Bukit Wisata Pulepayung,-7.8001106,110.1238954,10000,10000,"Pule Payung Kulon Progo Yogyakarta merupakan wisata alam dengan spot foto instagramable. Letaknya tidak jauh dari Kalibiru yaitu terletak di Kulon Progo, Yogyakarta. Tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto-foto unik karena memiliki banyak spot foto menarik. Daya tarik yang pertama dari Pule Payung Yogyakarta adalah objek wisata yang menyajikan pesona alam pegunungan. Sehingga, orang-orang menyebutnya dengan Bukit Wisata. Pule Payung Yogyakarta adalah objek wisata yang bukan hanya sekedar menawarkan keindahan, serta kenyamanan dalam berwisatanya saja. Namun mampu memberikan rasa aman bagi setiap pengunjungnya. Daya tarik Pule Payung Yogyakarta yang paling populer adalah onjek wisata yang menyajikan beragam spot keren yang instagramable.",https://lh5.googleusercontent.com/p/AF1QipNX7vz9yh16-c7F1B2umDFfoPzRxhCMK2dS4zGd=w426-h240-k-no,https://1.bp.blogspot.com/-eEFhAumclPw/XZDjfFJDi3I/AAAAAAAAEJ0/Eet2b4gaZ1wzUA-05H269WbgA1y5Pl_WgCLcBGAsYHQ/s1600/Pulepayung.jpg,https://sikidang.com/wp-content/uploads/alamat-dan-rute-lokasi-bukit-pulepayung.jpg,https://goo.gl/maps/reWUPnujrJSXgHWY9,"Soropati RT.007/RW.003, Clapar 2, Hargotirto, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",Senin-Minggu 09.00-20.00,4.5,Wisata Alam,,"ramah difabel, lansia, dan anak-anak",,outdoor,mudah,tinggi,{current_weather},pegunungan,4287,no,no,Menikmati keindahan alam di Bukit Pulepayung,yes
47,Seribu Batu Songgo Langit,-7.931099,110.429738,2500,2500,"Disekitar hutan pinus ternyata masih banyak tempat wisata yang wajib dikunjungi, salah satunya adalah Seribu Batu Songgo Langit. Namanya terdengar asing, namun apabila disebut rumah Hobbit, tentunya sahabat akan segera tahu tempat wisata ini. Ya, Seribu Batu Songgo Langit adalah lokasi dimana terdapat rumah Hobbit yang ada di kawasan Mangunan. Rumah Hobbit yang dimaksud berbeda dengan yang ada di New Zealand pastinya. Rumah Hobbit disini merupakan tiruan dari yang terdapat di film Hobbit atau yang ada di New Zealand. Songgo langit berarti penyangga langit, hal ini dikarenakan di Seribu Baru Songgo Langit terdapat bukit yang seakan akan merupakan tiang dari langit .Seribu Batu Songgo Langit merupakan tempat wisata di kawasan Dlingo yang menawarkan berbagai macam atraksi wisata, namun kebanyakan adalah spot foto. Spot foto di Seribu Batu hampir semuanya anti mainstream.",https://lh5.googleusercontent.com/p/AF1QipPzOOW7Gsso7EOqxWz3XvGUD9GTBOI3DHJTmZA=w408-h271-k-no,https://www.nativeindonesia.com/foto/2018/09/Songgolangit_View.jpg,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2020/12/150252606_113710817391496_2339918856594404314_n.jpg,https://goo.gl/maps/iE29VLvPLx2jDVRC9,"Jl. Hutan Pinus Nganjir, Sukorame, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Senin-Minggu 06.00-21.00,4.6,Wisata Alam,,ramah anak-anak,,outdoor,mudah,tinggi,{current_weather},pegunungan,4223,no,no,Menikmati keindahan alam di Seribu batu songgo langit,yes
48,Jurang Tembelan Kanigoro,-7.9401065,110.4300062,0,0,"Objek wisata Bantul ini ialah wisata alam spot foto terbaru yang sekarang menjadi hits di kalangan remaja kekinian. Sebab jurang Tembelan Mangunan Jogja memiliki deck view atau gardu pandangan terlihat cukup unik mirip seperti kapal. Tak heran pada akhirnya banyak wisatawan menyebutnya sebagai kapal titanic diatas awan. Sebelum seperti sekarang, sebenarnya jurang Tembelan Kanigoro Bantul tergolong masih sepi pengunjung. Lantaran baru saja dikembangkan oleh pihak pengelola wisata. Namun spot foto corner berupa gardu pandangan unik dan keindahan dimilikinya membuat pengunjung mulai ramai menyemarakkan. Sehingga tak lagi wisatawan lokal saja berbondong-bondong kesana, wisatawan luar kota pun dibuat penasaran dan menyempatkan waktu berswafoto. Di wisata alam Jogja ini pengunjung diperbolehkan bebas melakukan sesi pemotretan atau pun hanya sekedar berselfie ria. Tak hanya itu saja, pengunjung pun juga dapat menyaksikan lanskap matahari terbenam ketika menjelang sore hari dan juga kala matahari terbit yang diiringi pula keindahan tebal nya kabut putih khas pegunungan Mangunan.",https://lh5.googleusercontent.com/p/AF1QipPL3mPqQCVv8W9UAirNT-ILK-Li1_kKKXBBdwap=w408-h725-k-no,https://www.datawisata.com/wp-content/uploads/2018/08/jurang-Tembelan-Mangunan-Jogja.jpg,https://img.okezone.com/content/2020/12/30/408/2336164/jurang-tembelan-kanigoro-destinasi-ideal-berburu-kabut-yang-kaya-spot-instagenic-TM158v8Kj7.JPG,https://goo.gl/maps/XNESgERboTwvwHpTA,"Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Senin-Minggu 08.00-17.00,4.5,Wisata Alam,,,,outdoor,mudah,tinggi,{current_weather},pegunungan,3867,no,no,Menikmati keindahan alam Jurang Tembelan Kanigoro,no
49,Malioboro,-7.7982487,110.3652793,3000,3000,"Malioboro adalah jantung Kota Jogja. Meskipun terkenal sebagai surga belanja cendera mata dan barang kerajinan, ternyata tak sedikit wisatawan dan orang lokal mendatangi Malioboro pagi-pagi sekali untuk berolahraga atau sekedar menikmati udara segar sambil mencari sarapan",https://lh5.googleusercontent.com/p/AF1QipMMLhun9fE-K4yg82IirCisQOABidfFSlJ6-Z2b=w408-h271-k-no,https://sikidang.com/wp-content/uploads/Malioboro-Yogyakarta.jpg,https://www.nativeindonesia.com/foto/2018/09/Malioboro-Feature.jpg,https://goo.gl/maps/9EaZ1nrkqj7WeV9q9,"Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Buka 24 Jam,4.7,Wisata Belanja,,universal,,outdoor,mudah,rendah,{current_weather},belanja,3752,yes,yes,Menikmati suasana kota dan berbelanja di Malioboro,yes
50,Blue Lagoon Jogja,-7.7044358,110.45026,3000,3000,"Blue Lagoon Jogja merupakan salah satu obyek wisata yang di jadikan tempat pemandian sumber mata air ini yang muncul dari permukaan tanah di dalam kolam. Apabila Anda melihat ke dalam kolam akan terlihat gelembung-gelembung kecil yang muncul dari permukaan tanah. Hal itu menunjukkan bahwa terdapat air yang terus menerus muncul dari permukaan tanah tersebut. Meskipun Blue Lagoon di Jogja ini sudah lama namun tempat wisata ini mulai tenar dipertengahan tahun 2014. Pemandian Blue Lagoon ini terletak di Desa Dalem, Widodomartani, Ngemplak, Sleman, Yogyakarta",https://lh5.googleusercontent.com/p/AF1QipNsp6Y5n_iIfWK8d-DhmR1q4krhkukFQExOJhXA=w408-h306-k-no,https://cdn-cms.pgimgs.com/areainsider/2022/10/Alt-Text-Blue-Lagoon-Jogja-Sensasi-Mandi-Ala-Raja-di-Alam-Terbuka-.png,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2020/04/672.jpg,https://goo.gl/maps/caY2pkyywbyesC6h6,"Area Sawah, Widodomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Senin-Minggu 06.00-17.00,4.3,Wisata Alam,,ramah anak-anak,,outdoor,mudah,tinggi,{current_weather},sungai rekreasi,3585,no,no,Menikmati rekreasi alam di Blue Lagoon,no
51,Bundaran UGM,-7.7760052,110.3760616,0,0,Bundaran UGM merupakan gerbang masuk utama Universitas Gadjah Mada.,https://lh5.googleusercontent.com/p/AF1QipMNmoz7rHtuXE5y-jnOgeOLjQSIczjFORc-OKj6=w426-h240-k-no,https://correcto.id/content/images/th1_2020082401065453448.jpg,https://i0.wp.com/kagama.id/wp-content/uploads/2022/04/000-7.jpg?resize=678%2C381&ssl=1,https://goo.gl/maps/nx59a4V1dtjYyywU7,"69FG+HCW, Jl. Sagan, Sagan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Buka 24 Jam,4.7,Wisata Buatan,,universal,,outdoor,mudah,rendah,{current_weather},rekreasi,3535,yes,yes,Bersantai dan menikmati suasana kota,yes
52,Pantai Pok Tunggal,-8.1554468,110.6217582,10000,10000,"Pantai Pok Tunggal adalah salah satu pantai populer di Gunungkidul. Pantai ini terletak di Desa Tepus, Kecamatan Tepus. Posisinya sejajar dan tak jauh dari Pantai Indrayanti dan Pantai Watulawang yang tak kalah populer. Nama Pok Tunggal berasal dari keberadaan pohon duras di kawasan pantai tersebut. Pohon jenis ini dikenal sangat sulit tumbuh di daerah pesisir. Karena hanya satu-satunya, pohon ini kemudian menjadi semacam maskot bagi pantai ini. Yang menjadi ciri khas pantai ini adalah bentuknya yang sempit dan memanjang. Di samping itu, lokasinya yang dikelilingi bukit kapur dan karang menjadikan Pok Tunggal tampak lebih eksotis. Pantai ini cocok sebagai destinasi berbagai macam kegiatan rekreasi.",https://lh5.googleusercontent.com/p/AF1QipMjyvjHJ1YEXYgmc_60JHzjXf-K74xW1g5-Iq6X=w408-h255-k-no,https://asset.kompas.com/crops/si-b-EnxjVZThPpUwFTP8FcSPKs=/0x45:1600x1112/750x500/data/photo/2019/06/12/963103035.jpg,https://panduanwisata.b-cdn.net/wp-content/uploads/2021/08/Tebing-di-Pantai-Pok-Tunggal-via-Gmap.jpg,https://goo.gl/maps/MAPgUfvSc7hUCwZW9,Daerah Istimewa Yogyakarta,Buka 24 Jam,4.5,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},pantai,3467,yes,no,Menikmati satah satu pantai tercantik di Jogja,yes
53,Pantai Ngobaran,-8.1191333,110.5050409,5000,5000,Keunikan yang menjadi ciri khas Pantai Ngobaran adalah adanya Pura dan Arca. Keberadaannya membuat sekilas Pantai Ngobaran memiliki suasana khas yang mirip dengan Pulau Bali. Satu keunikan yang kemungkinan besar tersembunyi dari kebanyakan wisatawan adalah adanya sumber air tawar di tepi laut. Namun aliran air tawar hanya bisa ditemukan ketika air laut sedang surut. Satu sajian spesial yang bisa didapatkan di Pantai Ngobaran adalah landak laut atau bulu babi. Kuliner ini bisa dipesan di warung-warung yang ada di sekitar pantai. Bagian landak laut yang dimakan adalah dagingnya.,https://lh5.googleusercontent.com/p/AF1QipNYyCbtYmUzuevcTcwVK8v3nI0xMx9M5qa6QQuw=w408-h306-k-no,https://www.pantaipedia.com/wp-content/uploads/2022/02/Pantai-Ngobaran.jpg,https://mytrip123.com/wp-content/uploads/2019/06/pantai-ngobaran.jpg,https://goo.gl/maps/RZDX23eH5LHtCxVC6,Daerah Istimewa Yogyakarta,Buka 24 Jam,4.5,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},pantai,3288,yes,no,Menikmati salah satu pantai dengan pasir putih terindah,yes
54,Bukit Panguk Kediwung,-7.9583695,110.4407622,3000,3000,"Bukit Panguk Kediwung berlokasi di Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk. Kurang lebih berjarak 20 km dari pusat Kota Yogyakarta. Dari pusat Kota Yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah Jalan Imogiri Timur, ikuti jalan hingga menemukan Pasar Imogiri, lalu belok kiri dan lanjutkan perjalanan menuju ke arah Dlingo, dari sana anda akan mulai melihat petunjuk jalan menuju Bukit Panguk Kediwung. Akses jalan menuju Bukit Panguk Kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman. Sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit. Salah satu yang menjadi magnet bagi pengunjung untuk datang adalah keindahan pemandangan alamnya. Pengelola sudah menyediakan beberapa gardu pandang terbuat dari kayu dan bambu yang sengaja dibangun menjorok ke arah bibir tebing sehingga pengunjung bisa melihat dengan jelas pemandangan di bawah Bukit Panguk Kediwung yang eksotis. Dari atas kita bisa melihat aliran panjang Sungai Oya yang membelah bukita hijau yang menghampar hijau. Gardu pandang ini bukan gardu pandang biasa karena memiliki bentuk-bentuk yang unik karena sekaligus jadi spot foto. Ada yang berbentuk jembatan memanjang, bentuk sayap kupu-kupu, bentuk kereta kuda, dan masih banyak lagi. Gardu pandang dengan bentuk biasa juga tersedia. Gardu pandang di Puncak Bukit Penguk Kediwung ini terbagi dalam dua bagian, yaitu bagian timur dan selatan. Gardu pandang bagian timur sangat cocok untuk menikmati matahari terbit di pagi hari sedangkan gardu pandang sebelah selatan menghadap ke pegunungan yang berjajar. Kedua spot sama-sama menyuguhkan pemandangan yang luar biasa dan tidak boleh anda lewatkan ketika liburan di Yogyakarta.",https://lh5.googleusercontent.com/p/AF1QipMASilcQiZeRuUkJFf-c4vDnfxt6HZRzLcD-JfM=w426-h240-k-no,https://1.bp.blogspot.com/-SMdD4LN_M8E/XQO1g7IyweI/AAAAAAAAAS4/0BrxuYtEiM0w9HZX8JoTFBP46M3l9dZtQCLcBGAs/s1600/Bukit-Panguk-Kediwung-yang-Mempesona.jpg,https://garasijogja.com/wp-content/uploads/2017/12/dimaaas.23-e1513281224955.jpg,https://goo.gl/maps/wcZjcPNbjPnZFazs8,"Kediwung, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Buka 24 Jam,4.5,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,3245,no,no,Menikmati keindahan alam melalui Bukit Panguk Kediwung,yes
55,Kebun Teh Nglinggo,-7.647054,110.1414699,10000,10000,Wisata Kebun Teh Nglinggo adalah satu-satunya kebun teh yang berada di Yogyakarta. Sebenarnya kebun teh ini merupakan tempat mata pencaharian penduduk di sekitar Pagerhajo. Kemudian warga mempunyai ide untuk menjadikannya sebagai tempat wisata. Dengan pesona alamnya Kebun Teh Nglinggo menjadi objek wisata yang cukup terkenal di Kulon Progo. ,https://lh5.googleusercontent.com/p/AF1QipMyJspgFhnWRb5vivdL_zeFjYweI8PAK1mkk77Y=w408-h261-k-no,https://mytrip123.com/wp-content/uploads/2022/04/kebun-teh-nglinggo-1.jpg,https://dlhk.jogjaprov.go.id/uploads/topics/15637267503119.jpg,https://goo.gl/maps/DTAD1C4DW17PAJBS6,"943R+5HH, Nglinggo Barat, Pagerharjo, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",Senin-Minggu 07.00-18.00,4.5,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},pegunungan,3199,no,no,Menikmati kebun teh Nglinggo,no
56,Pantai Nglambor,-8.1827028,110.6792399,10000,10000,"Pantai Nglambor adalah sebuah pantai eksotis yang terletak di Kelurahan Purwodadi, Kecamatan Tepus, Gunung Kidul, Daerah Istimewa Yogyakarta. Lokasinya persis di sebelah barat dari Pantai Siung dan sebelah timur dari Pantai Jogan. Jaraknya kurang lebih 74 km dari pusat kota Jogja, pantai ini menawarkan panorama pantai yang indah.",https://lh5.googleusercontent.com/p/AF1QipNNHdyJao-Uldyp6STC9KhvHD-XYFc5DKh08LPx=w408-h306-k-no,https://img.inews.co.id/media/1200/files/inews_new/2020/03/31/IMG_31032020_143523__822_x_430_piksel_.jpg,https://www.wsrentaljogja.com/wp-content/uploads/2016/08/@mikhaelhaposan-600x400.jpg,https://goo.gl/maps/4Cz1QQXnH1er7k3o6,"Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta",Buka 24 Jam,4.4,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},pantai,3192,yes,no,Menikmati pantai dengan pasir putih yang indah,yes
57,Air Terjun Kedung Pedut,-7.7699875,110.1210707,11000,11000,"Air Terjun Kedung Pedut atau biasa disebut Curug Kedung Pedut berasal dari istilah bahasa Jawa. Curug yang berarti air terjun, kedung berarti kubangan atau kolam, dan pedut berarti kabut. Air Terjun Kedung Pedut merupakan salah satu wisata alam yang di Kulonprogo yang dikenal karena keindahan warna airnya.",https://lh5.googleusercontent.com/p/AF1QipMBKezVMVHKelACmKU7YWtRtu1oVasOXhG8JjvU=w408-h272-k-no,https://garasijogja.com/wp-content/uploads/2017/03/tentangkulonprogo.jpg,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/Air-Terjun-Kedung-Pedut.jpg,https://goo.gl/maps/y9TABd9n2SYBLiWz6,"Jl. Kutogiri Gunung Kelir, Kembang, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",Senin-Minggu 08.00-15.30,4.5,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},sungai rekreasi,3164,no,no,Menikmati wisata air terjun,no
58,Pantai Ngandong,-8.146423,110.6061408,10000,10000,"Pantai ini memiliki garis pantai yang panjang dengan pasir putih yang bersih dan lembut. Ada bebatuan di pinggir pantai yang bisa dimanfaatkan oleh pengunjung untuk bermain air. Permainan air disini selain berenang, juga tersedia fasilitas kano. Pemandangan unik yang dapat dilihat di pantai ini, adalah adanya pulau yang berada di tengah laut. Saat sedang surut, pulau itu bisa dicapai dengan jalan kaki.",https://lh5.googleusercontent.com/p/AF1QipO-u616Od_RB739z3J9epnsSRhRfjRB9rPkKpMi=w408-h306-k-no,https://mytrip123.com/wp-content/uploads/2019/05/pantai-ngandong-1.jpg,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2020/03/196.jpg,https://goo.gl/maps/5DwuT4c9SQHFWbi4A,"VJ34+CFJ, Jl. Pantai Sel. Jawa, Sidoharjo, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.5,Wisata Alam,,universal,,outdoor,susah,tinggi,{current_weather},pantai,3151,yes,no,Menikmati pantai dengan suasana yang tenang,yes
59,Pantai Sepanjang,-8.1366656,110.5659962,10000,10000,"Siapa sangka, ternyata Yogyakarta pun punya “Kuta”-nya sendiri Ialah Pantai Sepanjang, salah satu pantai di Kabuaten Gunungkidul. Daerah yang satu ini memang memiliki koleksi pantai cantik yang tak terhitung jumlahnya. Bahkan pantai ini digadang-gadang sebagai ‘Kuta Tempo Doeloe‘. ",https://lh5.googleusercontent.com/p/AF1QipNmzMcN8oXgtSYxwcahg6tI-gLo_uu-k8JMJqyh=w408-h544-k-no,https://wisatabagus.com/wp-content/uploads/2019/11/pantai-sepanjang-gunung-kidul.jpg,https://pantainesia.com/wp-content/uploads/2018/04/Pantai-Sepanjang-Jogja.jpg,https://goo.gl/maps/pDSbqYCRoZassYRQ6,"Jl. nglolang,saglen, Ngalos, Kemadang, Kec. Tanjungsari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.4,Wisata Alam,,universal,,outdoor,mudah,tinggi,{current_weather},pantai,3130,yes,yes,Menikmati pantai Sepanjang,yes
60,Candi Sewu,-7.7439217,110.4929095,10000,10000,"Candi Sewu adalah candi Buddha yang dibangun pada abad ke-8 Masehi yang berjarak hanya delapan ratus meter di sebelah utara Candi Prambanan. Candi Sewu merupakan kompleks candi Buddha terbesar kedua setelah Candi Borobudur di Jawa Tengah. Candi Sewu berusia lebih tua daripada Candi Borobudur dan Prambanan. Meskipun aslinya memiliki 249 candi, oleh masyarakat setempat candi ini dinamakan ""Sewu"" yang berarti seribu dalam bahasa Jawa. Penamaan ini berdasarkan kisah legenda Loro Jonggrang.",https://lh5.googleusercontent.com/p/AF1QipNL7_ITIjDs1hiVQGHV26XdoqX0lndKfKK-pZeU=w408-h272-k-no,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/jawapos/2022/12/candi-sewu-klaten.jpg,https://3.bp.blogspot.com/-K2-UaVW24TU/XDpx2lCpDRI/AAAAAAAABXY/ADIRhx_Vo28mjE6lUif5l8Vd8Nbc719VgCLcBGAs/s1600/wisata%2Bcandi%2Bsewu.jpg,https://goo.gl/maps/5EjNgs2zjz8gG2gX9,"Jl. Raya Solo - Yogyakarta No.KM.16, Bugisan, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Senin-Minggu 06.00-17.00,4.6,Wisata Budaya & Edukasi,,"ramah difabel, lansia, dan anak-anak",,outdoor,mudah,rendah,{current_weather},candi,2968,yes,yes,Mengunjungi situs Candi Sewu,no
61,Gunung Api Purba Nglanggeran,-7.8427585,110.5379165,15000,15000,"Kawasan Ekosistem Gunung Purba Nglanggeran atau yang biasa disebut Gunung Nglanggeran ini merupakan kawasan yang litologinya disusun oleh material vulkanik tua, berbentuk gunung batu raksasa yang membentang sepanjang kurang lebih 800 meter dengan tinggi mencapai 300 meter. di Kawasan Gunung Api Purba Nglanggeran juga dijumpai fauna dan flora langka, seperti tanaman tremas (tanaman obat yang hanya hidup dikawasan ekowisata Gunung Api Purba), kera ekor panjang.",https://lh5.googleusercontent.com/p/AF1QipNSLFntTIPWuIr2fh4_vLRXB4rY69_hbm5V28a-=w408-h544-k-no,https://asset.kompas.com/crops/9H__d5e8MZ1FuRPbF8eSc8FixIE=/0x0:740x370/750x500/data/photo/2021/03/09/604736b788a4e.jpg,https://asset.kompas.com/crops/LQ2Mj770XSVajKN0p1bpSsuK3BY=/0x0:1800x1200/750x500/data/photo/2020/10/16/5f8982630b991.jpg,https://goo.gl/maps/7QXAZXAe8WvhrmDE6,"5G5V+F6V, Nglanggeran Wetan, Nglanggeran, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862",Buka 24 Jam,4.6,Wisata Alam,,,,outdoor,mudah,tinggi,{current_weather},pegunungan,2807,no,no,Menikmati pemandangan alam jogja melalui Gunung Api Purba,yes
62,Galaxy Waterpark,-7.8159633,110.4136917,25000,35000,"Galaxy Waterpark cocok sebagai opsi untuk berlibur bersama keluarga, apalagi untuk anak-anak. Disini disediakan bermacam wahana seperti kolam arus, flying fox, wahana water slide, kolam olimpic yang didesain dengan standar internasional untuk para atlet dewasa renang.",https://lh5.googleusercontent.com/p/AF1QipPV5Wf_pEfiprGQE6SIQ4BdcT1-dvlKLGR3kesF=w408-h544-k-no,https://jelajah-api.bantulkab.go.id/files/content/61f0850026c4008f82bedfd77d6bc10a.jpg,https://1.bp.blogspot.com/-w5zWJI7Vm28/YH5lT26z38I/AAAAAAAADqc/YrMAVZ6-PVsJYXgbWSBJ6msiS6ZhxNHWACLcBGAsYHQ/s850/Wisata-Galaxy-Waterpark-Jogja.jpg,https://goo.gl/maps/NB2qRs3A8QDfBQgB6,"Jl. Wonosari No.6, Kalangan, Baturetno, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55196",Sabtu-Kamis 09.00-16.00,4.3,Wisata Buatan,,ramah anak-anak,,outdoor,mudah,rendah,{current_weather},rekreasi,2761,yes,no,Rekreasi kolam renang di Galaxy Waterpark,no
63,Pemecah Ombak Pantai Glagah,-7.9190028,110.0775951,5000,5000,Pemecah gelombang merupakan atraksi wisata utama yang ada di Pantai Glagah. Banyak pengunjung datang ke pantai ini untuk melihat secara langsung seperti apa pemecah gelombang itu. Ada dua pemecah gelombang di kawasan Pantai Glagah ini. Pemecah gelombang yang banyak dikunjungi wisatawan ada di sisi barat yang satu bagian dengan kawasan pantai pasir Glagah. Pemecah gelombang sisi timur bisa dijangkau melalui Dermaga Adikarta.,https://lh5.googleusercontent.com/p/AF1QipO2-fiRWrPCSBaC9roNdLjF6LGusdsM8e6ZGMxp=w408-h408-k-no,https://statik.tempo.co/data/2012/04/06/id_113706/113706_620.jpg,https://paketwisata.id/wp-content/uploads/2019/07/Pantai-Glagah-tetey_88.jpg,https://goo.gl/maps/Sn2ZUGgTRJQtFDao9,"33JH+92X, Glagah, Kec. Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",Buka 24 Jam,4.4,Wisata Buatan,,,,outdoor,mudah,rendah,{current_weather},pantai,2683,no,no,Menikmati lokasi yang instagramable di Pantai Glagah,yes
64,Pantai Timang,-8.1759266,110.6624196,5000,5000,"Begitu memasuki wilayah pantai, pengunjung akan disambut dengan indahnya perpaduan warna alam. Air di bibir pantai yang berwarna hijau toska, dan semakin berwarna biru ke tengah laut. Tidak perlu ditanya lagi, tentu airnya begitu jernih dan bersih. Selain itu, terdapat pula perbukitan yang ditumbuhi banyak pohon, begitu menyejukkan dipandang mata. Batu – batu karang yang besar membentang dengan gagahnya. Siap menghadang besarnya ombak yang menghantam pantai. Yang paling khas dari pantai ini adalah keberadaan gondola untuk menyeberang menuju Pulau Timang. Gondola ini membentang dari Pantai menuju ke Pulau Timang yang berupa batu karang. Gondola ini terbuat dari kayu sederhana, dengan tali tambang yang ditarik manual. Wahana lain yang juga memacu adrenalin adalah Jembatan Gantung. Jembatan ini juga menghubungkan area pinggir pantai dengan Pulau Timang. Dimana jembatan ini menjadi alternatif bagi pengunjung yang ingin menyeberang selain menggunakan gondola.",https://lh5.googleusercontent.com/p/AF1QipP_wxy1iKr2c3J2HVtH9OR5YS_1Kl-B20cytphO=w408-h272-k-no,https://mytrip123.com/wp-content/uploads/2019/05/pantai-timang.jpg,https://bogordaily.net/wp-content/uploads/2022/02/Pantai-TImang.jpg,https://goo.gl/maps/196WDGQ7a1L7ZewF9,"Jl. Pantai Sel. Jawa, Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.5,Wisata Alam,,,,outdoor,mudah,tinggi,{current_weather},pantai,2656,no,no,Menikmati pantai yang menjadi daya tarik mancanegara di Pantai Timang,yes
